Starting session: experiment_mix_2_noise0.10_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=1162.78, price=187, party1=S05, party2=B09
Trade: time=1169.91, price=179, party1=S09, party2=B01
Trade: time=1174.09, price=194, party1=P01, party2=B03
Trade: time=1175.61, price=181, party1=S06, party2=B01
Trade: time=1178.87, price=182, party1=B03, party2=S07
Trade: time=1180.52, price=171, party1=B01, party2=S09
Trade: time=1183.78, price=192, party1=B02, party2=S04
Trade: time=1189.22, price=173, party1=B04, party2=S05
Trade: time=1191.39, price=194, party1=P01, party2=B04
Trade: time=1195.30, price=194, party1=P01, party2=B05
Trade: time=1195.87, price=146, party1=B09, party2=S00
Trade: time=1199.57, price=157, party1=S08, party2=B09
Trade: time=1200.48, price=171, party1=B08, party2=S04
Trade: time=1201.87, price=194, party1=P01, party2=B04
Trade: time=1202.09, price=167, party1=B04, party2=S06
Trade: time=1203.09, price=158, party1=B00, party2=S07
Trade: time=1206.65, price=188, party1=S01, party2=B08
Trade: time=1214.30, price=177, party1=B07, party2=S08
Trade: time=1214.39, price=194, party1=P01, party2=B09
Trade: time=1215.22, price=194, party1=P01, party2=B00
Trade: time=1215.30, price=184, party1=B02, party2=S02
Trade: time=1227.61, price=194, party1=P01, party2=B09
Trade: time=1228.09, price=174, party1=B06, party2=S09
Trade: time=1228.43, price=172, party1=B04, party2=S03
Trade: time=1231.04, price=155, party1=S01, party2=B08
Trade: time=1234.65, price=172, party1=B02, party2=S00
Trade: time=1235.78, price=135, party1=S09, party2=B00
Trade: time=1238.13, price=178, party1=S05, party2=B00
Trade: time=1238.17, price=194, party1=P01, party2=B02
Trade: time=1242.43, price=158, party1=B09, party2=S04
Trade: time=1243.48, price=164, party1=B05, party2=S01
Trade: time=1248.13, price=158, party1=B06, party2=S08
Trade: time=1250.96, price=137, party1=S09, party2=B04
Trade: time=1251.39, price=194, party1=P01, party2=B09
Trade: time=1251.70, price=151, party1=S03, party2=B02
Trade: time=1255.52, price=175, party1=B00, party2=S05
