Starting session: experiment_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=1867.09, price=147, party1=S03, party2=B04
Trade: time=1870.36, price=172, party1=S04, party2=B02
Trade: time=1883.73, price=160, party1=B05, party2=S08
Trade: time=1885.36, price=153, party1=S04, party2=B00
Trade: time=1885.50, price=144, party1=B06, party2=S08
Trade: time=1903.36, price=159, party1=B00, party2=S02
Trade: time=1911.45, price=178, party1=S07, party2=B02
Trade: time=1913.68, price=144, party1=B02, party2=S04
Trade: time=1915.18, price=144, party1=S05, party2=B04
Trade: time=1916.36, price=159, party1=B01, party2=S09
Trade: time=1925.91, price=157, party1=B09, party2=S09
Trade: time=1932.05, price=166, party1=B03, party2=S00
Trade: time=1932.09, price=170, party1=S01, party2=B00
Trade: time=1944.36, price=166, party1=B08, party2=S06
Trade: time=1946.82, price=157, party1=S05, party2=B00
Trade: time=1947.64, price=153, party1=B09, party2=S09
Trade: time=1948.68, price=177, party1=B02, party2=S01
Trade: time=1949.32, price=156, party1=B07, party2=S08
Trade: time=1954.55, price=171, party1=S07, party2=B02
Trade: time=1963.14, price=170, party1=S01, party2=B03
Trade: time=1969.32, price=158, party1=B05, party2=S06
Trade: time=1971.41, price=154, party1=S00, party2=B07
Trade: time=1973.73, price=181, party1=P00, party2=B04
Trade: time=1978.45, price=158, party1=S03, party2=B07
Trade: time=1989.09, price=157, party1=S01, party2=B08
Trade: time=1990.91, price=160, party1=B00, party2=S05
Trade: time=1991.59, price=155, party1=B07, party2=S08
Trade: time=1993.00, price=153, party1=B03, party2=S06
Trade: time=2002.18, price=167, party1=B03, party2=S03
Trade: time=2002.64, price=166, party1=B04, party2=S05
Trade: time=2002.91, price=142, party1=S09, party2=B01
Trade: time=2007.91, price=149, party1=B04, party2=S00
Trade: time=2010.55, price=153, party1=B05, party2=S07
Trade: time=2019.77, price=142, party1=S04, party2=B01
Trade: time=2022.50, price=159, party1=B03, party2=S06
Trade: time=2026.68, price=155, party1=B09, party2=S04
Trade: time=2034.36, price=152, party1=B09, party2=S00
Trade: time=2037.09, price=168, party1=B03, party2=S02
Trade: time=2041.73, price=162, party1=B03, party2=S02
Trade: time=2053.50, price=149, party1=S08, party2=B05
Trade: time=2058.18, price=155, party1=B09, party2=S04
Trade: time=2059.09, price=152, party1=B03, party2=S08
Trade: time=2085.50, price=177, party1=B02, party2=S01
